Name	Designator	Quantity	Okaphone Reference
1n	C1,C2,C3,C4,C5,C6	6	
4148	D1	1	
HDR-M-2.54_1x3	J1,J5	2	CC076
HDR-M-2.54_1x2	J2,J3,J4	3	CC076
HDR-M-2.54_1x4	J6	1	CC076
HDR-M-2.54_2x3	J7,J8	2	BH6S
K4-6Ã—6_TH	KEY1	1	
LED-0805_G	LED1,LED2,LED3,LED4,LED5,LED6,LED21,LED22,LED23,LED24,LED25	11	HT17-21SYGC
UNO_R3	P1	1	
220	R1,R2,R5	3	K/RES-0603
10k	R3	1	K/RES-0603
470	R4,R15,R16,R17,R23,R24,R25	7	K/RES-0603
820	R6,R7,R8,R9,R10,R11	6	K/RES-0603
150	R12,R13,R14,R19,R20,R21,R22	7	K/RES-0603
330	R18	1	K/RES-0603
6N138	U2	1	6N138
